LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel
DOMAIN;;;;;NEMS4;NEMS12;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;sfc;sfc;sfc;10 m above gnd;10 m above gnd;2 m above gnd;2 m above gnd;sfc;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Total Precipitation;Snowfall amount;Total cloud cover;Wind speed;Wind direction;Temperature;Temperature;Total cloud cover;Total cloud cover;Wind speed;Wind speed
UNIT;;;;;°C;mm;cm;%;km/h;°;°C;°C;%;%;km/h;km/h
AGGREGATION;;;;;daily mean;daily sum;daily sum;daily mean;daily mean;daily mean;daily max;daily min;daily max;daily min;daily max;daily min
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature daily mean [2 m above gnd];Total Precipitation daily sum [sfc];Snowfall amount daily sum [sfc];Total cloud cover daily mean [sfc];Wind speed daily mean [10 m above gnd];Wind direction daily mean [10 m above gnd];Temperature daily max [2 m above gnd];Temperature daily min [2 m above gnd];Total cloud cover daily max [sfc];Total cloud cover daily min [sfc];Wind speed daily max [10 m above gnd];Wind speed daily min [10 m above gnd]
2007;09;01;00;00;17.11;0.60;0.00;73.09;7.59;275.34;18.79;15.87;100.00;0.00;10.59;1.59
2007;09;02;00;00;17.13;0.00;0.00;39.62;2.84;251.76;22.24;11.97;100.00;0.00;5.72;0.82
2007;09;03;00;00;15.45;12.80;0.00;61.95;12.60;261.81;19.68;10.93;100.00;0.00;25.00;4.89
2007;09;04;00;00;12.44;0.70;0.00;63.92;7.84;330.34;14.94;10.72;100.00;10.00;12.22;2.85
2007;09;05;00;00;11.45;0.00;0.00;68.83;5.61;204.40;16.35;5.87;100.00;26.00;10.16;1.50
2007;09;06;00;00;12.71;0.00;0.00;68.46;4.94;167.08;17.75;7.47;100.00;26.00;9.36;0.59
2007;09;07;00;00;14.80;0.00;0.00;73.33;6.07;164.57;17.95;10.99;100.00;10.00;12.72;1.50
2007;09;08;00;00;16.08;0.00;0.00;60.12;6.60;24.98;21.50;12.42;100.00;10.00;10.86;4.29
2007;09;09;00;00;15.90;0.00;0.00;56.75;5.63;169.33;20.14;12.58;100.00;1.00;9.11;3.50
2007;09;10;00;00;15.26;0.10;0.00;56.14;11.38;227.42;20.32;10.81;100.00;0.00;23.21;0.79
2007;09;11;00;00;14.13;1.60;0.00;50.51;7.63;240.72;16.59;11.57;100.00;9.30;14.22;5.19
2007;09;12;00;00;15.15;0.00;0.00;32.25;9.97;53.78;20.95;9.29;100.00;0.00;17.96;3.67
2007;09;13;00;00;15.27;0.00;0.00;33.21;5.07;77.82;22.43;8.91;100.00;0.00;7.72;2.47
2007;09;14;00;00;17.58;0.00;0.00;15.12;8.62;211.88;24.62;10.41;100.00;0.00;18.91;3.72
2007;09;15;00;00;17.18;0.00;0.00;28.42;5.61;156.61;22.44;11.90;100.00;0.30;8.67;1.50
2007;09;16;00;00;18.11;0.00;0.00;32.00;4.61;189.45;24.85;12.69;100.00;0.00;11.07;2.02
2007;09;17;00;00;18.31;1.70;0.00;49.46;8.51;203.71;25.72;11.70;100.00;0.00;18.35;4.19
2007;09;18;00;00;14.22;27.60;0.00;79.54;11.82;250.48;16.68;8.79;100.00;10.00;21.10;3.67
2007;09;19;00;00;12.17;0.00;0.00;80.96;2.78;280.29;16.32;8.35;100.00;0.00;6.51;0.99
2007;09;20;00;00;12.72;0.00;0.00;7.60;2.46;189.56;19.27;5.06;100.00;0.00;4.37;0.63
2007;09;21;00;00;15.65;0.00;0.00;12.96;3.21;157.45;23.42;6.87;100.00;0.00;4.32;1.63
2007;09;22;00;00;17.82;0.00;0.00;3.49;4.71;212.63;24.49;9.20;10.50;0.00;8.20;0.32
2007;09;23;00;00;18.79;0.00;0.00;10.47;3.18;197.27;24.80;12.24;100.00;0.00;5.22;0.97
2007;09;24;00;00;18.18;0.10;0.00;36.50;6.99;226.79;24.98;13.54;100.00;0.00;19.25;1.69
2007;09;25;00;00;14.49;11.00;0.00;100.00;9.14;258.86;16.48;11.57;100.00;100.00;19.49;2.16
2007;09;26;00;00;12.94;0.00;0.00;100.00;2.62;207.20;14.65;10.76;100.00;100.00;6.07;0.85
2007;09;27;00;00;10.54;8.00;0.00;100.00;6.61;287.63;11.85;8.97;100.00;100.00;8.92;4.36
2007;09;28;00;00;12.03;0.00;0.00;100.00;10.73;220.32;14.66;9.55;100.00;100.00;17.86;4.85
2007;09;29;00;00;13.89;0.00;0.00;53.25;11.99;236.92;19.30;6.51;100.00;0.00;18.20;3.11
2007;09;30;00;00;15.32;5.30;0.00;62.25;3.80;144.95;18.70;12.67;100.00;2.70;5.26;2.95
2007;10;01;00;00;17.55;0.00;0.00;60.44;3.10;127.15;24.65;11.28;100.00;7.80;4.26;1.05
2007;10;02;00;00;18.84;1.20;0.00;60.25;4.16;166.11;24.05;13.15;100.00;0.30;5.93;2.47
2007;10;03;00;00;19.81;0.00;0.00;73.90;2.62;131.00;26.01;14.13;100.00;4.00;4.92;0.49
2007;10;04;00;00;21.24;0.00;0.00;80.08;4.31;199.05;25.99;17.81;100.00;8.00;11.65;0.96
2007;10;05;00;00;19.32;0.00;0.00;60.99;6.33;74.01;23.46;16.57;100.00;5.00;12.26;1.78
2007;10;06;00;00;16.00;0.00;0.00;79.25;7.70;53.88;18.48;13.00;100.00;2.00;10.76;5.52
2007;10;07;00;00;13.86;0.00;0.00;49.25;2.97;152.84;17.96;10.04;100.00;0.00;5.09;0.85
2007;10;08;00;00;15.05;0.00;0.00;60.86;2.88;264.25;19.27;12.33;100.00;0.90;6.90;0.11
2007;10;09;00;00;13.64;0.00;0.00;35.05;2.82;257.51;18.86;8.52;100.00;6.00;7.52;0.79
